iter	Passed	Remaining
0	2	1893
1	8	3075
2	11	2685
3	12	2288
4	13	2003
5	23	2834
6	26	2699
7	36	3320
8	47	3776
9	57	4113
10	63	4127
11	64	3868
12	66	3635
13	67	3458
14	69	3305
15	75	3361
16	86	3622
17	88	3477
18	98	3672
19	109	3888
20	120	4071
21	131	4218
22	142	4357
23	152	4481
24	163	4601
25	174	4722
26	176	4579
27	186	4674
28	197	4755
29	207	4837
30	218	4911
31	229	4987
32	240	5057
33	250	5118
34	261	5183
35	272	5241
36	283	5291
37	295	5358
38	307	5425
39	317	5469
40	329	5521
41	340	5564
42	351	5603
43	362	5636
44	373	5671
45	384	5705
46	396	5738
47	407	5767
48	418	5796
49	429	5825
50	440	5849
51	451	5875
52	462	5896
53	474	5916
54	485	5936
55	496	5958
56	508	5985
57	520	6007
58	531	6021
59	543	6047
60	555	6069
61	566	6088
62	578	6101
63	589	6116
64	601	6135
65	612	6148
66	625	6167
67	637	6192
68	649	6201
69	660	6211
70	673	6228
71	685	6246
72	698	6271
73	710	6281
74	723	6300
75	736	6319
76	748	6329
77	760	6336
78	772	6345
79	784	6352
80	795	6357
81	807	6361
82	819	6367
83	831	6372
84	832	6297
85	844	6305
86	856	6313
87	869	6321
88	880	6323
89	892	6328
90	904	6332
91	916	6332
92	927	6332
93	939	6333
94	950	6332
95	962	6335
96	973	6334
97	984	6331
98	996	6330
99	1007	6329
100	1018	6325
101	1029	6317
102	1040	6312
103	1051	6307
104	1062	6304
105	1064	6243
106	1075	6241
107	1086	6234
108	1097	6232
109	1108	6229
110	1120	6225
111	1131	6220
112	1142	6217
113	1153	6212
114	1164	6205
115	1175	6200
116	1187	6199
117	1198	6194
118	1209	6188
119	1220	6184
120	1231	6177
121	1243	6174
122	1253	6167
123	1264	6160
124	1277	6160
125	1288	6155
126	1299	6148
127	1310	6141
128	1321	6134
129	1332	6127
130	1343	6121
131	1354	6115
132	1365	6107
133	1376	6100
134	1387	6093
135	1398	6086
136	1409	6079
137	1420	6072
138	1431	6064
139	1443	6060
140	1454	6056
141	1465	6047
142	1476	6039
143	1487	6032
144	1498	6023
145	1509	6016
146	1520	6008
147	1531	5999
148	1541	5991
149	1553	5984
150	1563	5975
151	1574	5967
152	1585	5959
153	1596	5950
154	1607	5943
155	1618	5936
156	1629	5928
157	1641	5921
158	1653	5916
159	1664	5908
160	1675	5901
161	1688	5898
162	1699	5891
163	1710	5883
164	1722	5875
165	1733	5869
166	1734	5828
167	1745	5819
168	1757	5813
169	1769	5806
170	1780	5800
171	1792	5793
172	1804	5788
173	1815	5779
174	1826	5771
175	1839	5770
176	1853	5771
177	1867	5769
178	1879	5764
179	1890	5756
180	1902	5748
181	1913	5739
182	1924	5732
183	1936	5724
184	1947	5716
185	1959	5709
186	1970	5700
187	1981	5691
188	1991	5680
189	2002	5669
190	2013	5660
191	2023	5649
192	2034	5640
193	2045	5629
194	2055	5618
195	2066	5608
196	2076	5597
197	2088	5590
198	2098	5578
199	2109	5569
200	2121	5562
201	2132	5552
202	2143	5543
203	2153	5532
204	2165	5523
205	2175	5513
206	2186	5502
207	2197	5492
208	2207	5482
209	2218	5472
210	2229	5463
211	2240	5453
212	2251	5443
213	2262	5433
214	2273	5424
215	2284	5415
216	2296	5406
217	2307	5397
218	2318	5388
219	2329	5379
220	2340	5370
221	2352	5362
222	2364	5354
223	2375	5345
224	2386	5335
225	2398	5328
226	2409	5318
227	2420	5308
228	2431	5298
229	2443	5290
230	2454	5281
231	2465	5271
232	2476	5261
233	2487	5252
234	2498	5242
235	2509	5231
236	2520	5222
237	2531	5212
238	2542	5202
239	2554	5193
240	2565	5184
241	2576	5174
242	2587	5164
243	2599	5155
244	2610	5145
245	2621	5135
246	2632	5126
247	2643	5116
248	2644	5087
249	2655	5077
250	2667	5068
251	2678	5059
252	2690	5051
253	2702	5042
254	2713	5033
255	2725	5025
256	2737	5016
257	2748	5007
258	2760	4997
259	2771	4989
260	2783	4980
261	2795	4971
262	2806	4962
263	2818	4953
264	2829	4943
265	2840	4933
266	2851	4924
267	2862	4913
268	2874	4904
269	2885	4894
270	2896	4884
271	2909	4878
272	2922	4871
273	2935	4864
274	2947	4855
275	2958	4845
276	2970	4836
277	2982	4827
278	2992	4815
279	3003	4806
280	3016	4798
281	3028	4790
