feature,importance,importance_fraction
ohe_pipe__Sex_Male,0.076297775,0.076297775
ohe_pipe__Sex_Female,0.07195248,0.07195248
num_pipe__Student_Age,0.069288924,0.069288924
ord_pipe__Project_work,0.06422171,0.06422171
ord_pipe__Reading,0.06351222,0.06351222
num_pipe__Attendance,0.062950104,0.062950104
num_pipe__Scholarship,0.0612701,0.0612701
ord_pipe__Additional_Work,0.06126842,0.06126842
ord_pipe__Notes,0.05984652,0.05984652
ohe_pipe__Transportation_Private,0.059793897,0.059793897
num_pipe__Weekly_Study_Hours,0.058999598,0.058999598
ohe_pipe__Transportation_Bus,0.05860928,0.05860928
ord_pipe__Sports_activity,0.057546742,0.057546742
ohe_pipe__High_School_Type_State,0.05683327,0.05683327
ord_pipe__Listening_in_Class,0.05521554,0.05521554
ohe_pipe__High_School_Type_Private,0.048926864,0.048926864
ohe_pipe__High_School_Type_Other,0.013466526,0.013466526
